 # Fibonacci Sphere distribution of circles on sphere
 # Assuming 5300 across sky, => 7.9 sq-degrees/desi tile
 # RA            DEC
-113.13687   44.98731
-112.76261  -45.17849
 -43.66912   19.81192
-138.39189   12.11403
 -58.51021  -40.45399
 -77.37396   48.35132
-133.36407  -26.93976
 -40.52576   -4.55681
-127.97181   34.79548
 -91.14321  -49.67594
 -50.93999   33.61976
-139.67181   -3.08612
 -47.20613  -28.34074
-100.55599   48.96017
-123.12750  -39.61899
 -41.00744   10.71473
-136.22939   21.34079
 -68.76427  -46.30067
 -64.71823   44.62185
-137.37657  -18.22482
 -41.48732  -13.98080
-120.13622   42.02418
-105.43402  -48.23350
 -45.30972   25.49377
-139.80862    6.40020
 -52.90459  -36.52882
 -86.00696   50.04956
-130.71947  -32.36304
 -39.78983    1.28901
-132.30205   30.16760
 -82.01497  -49.81083
 -54.82614   38.61592
-139.74163   -8.98717
 -43.95647  -23.21217
-109.17406   47.54645
-117.73787  -43.95412
 -41.64124   16.59358
-138.57751   15.86170
 -61.35815  -43.55449
 -71.76878   47.99034
-135.94377  -23.99263
 -39.90879   -8.26386
-126.10756   38.24299
 -96.91225  -50.29806
 -47.70317   31.03697
-140.69682    0.53446
 -48.27579  -31.98954
 -95.27427   50.55543
-127.13396  -37.52572
 -39.56449    7.22649
-135.78948   25.08851
 -73.05249  -48.71651
 -59.87994   43.17924
-139.27914  -14.92106
 -41.41498  -17.75494
-116.99795   45.03869
-110.99866  -47.62292
 -42.87383   22.43984
-140.32180   10.14603
 -54.99966  -39.93369
 -80.11976   50.41768
-133.79270  -29.64577
 -38.86765   -2.38238
-131.05478   33.80364
 -87.56570  -51.18616
 -50.99464   36.35320
-141.07547   -5.43490
 -44.53607  -26.96766
-104.55363   49.80231
-122.41950  -42.30168
 -39.86057   13.20995
-138.53356   19.65871
 -64.80420  -46.46994
 -66.28133   47.13342
-138.23936  -20.83872
 -39.50009  -12.04500
-123.76511   41.59623
-102.87488  -50.40593
 -44.79170   28.19356
-141.51721    4.25291
 -49.71250  -35.60674
 -89.47943   51.69577
-130.78686  -35.10314
 -38.33735    3.61452
-135.06299   28.84738
 -78.00752  -50.79496
 -55.37062   41.32631
-140.94136  -11.46279
 -41.57891  -21.57119
-113.22701   47.84080
-116.37539  -46.52500
 -40.71466   19.19244
-140.62486   13.95908
 -57.60746  -43.22541
 -74.12671   50.26168
-136.54532  -26.68427
 -38.14832   -6.14431
-129.41532   37.39541
 -93.57228  -52.07784
 -47.52163   33.78031
-142.19811   -1.76735
 -45.41778  -30.72527
